,Question
0,Was Alessandro Volta a professor of chemistry?
1,Was Alessandro Volta a professor of chemistry?
2,Did Alessandro Volta invent the remotely operated pistol?
3,Did Alessandro Volta invent the remotely operated pistol?
4,Was Alessandro Volta taught in public schools?
5,Was Alessandro Volta taught in public schools?
6,Who did Alessandro Volta marry?
7,Who did Alessandro Volta marry?
8,What did Alessandro Volta invent in 1800?
9,What is the battery made by Alessandro Volta credited as?
10,What is the battery made by Alessandro Volta credited as?
11,Did Alessandro Volta die and retire in the same place?
12,Did Alessandro Volta die and retire in the same place?
13,When did Alessandro Volta improve  and popularize the electrophorus?
14,When did Alessandro Volta improve  and popularize the electrophorus?
15,How long was Alessandro Volta a professor at the University of Pavia?
16,How long was Alessandro Volta a professor at the University of Pavia?
17,Was Alessandro Volta an Egyptian?
18,Was Alessandro Volta an Egyptian?
19,Was Volta taught in public schools?
20,Was Volta taught in public schools?
21,Was Volta made a count in 1810?
22,Was Volta made a count in 1810?
23,Who made Volta a count?
24,Who made Volta a count?
25,Where was Volta born?
26,When did Volta retire?
27,When did Volta retire?
28,Was Volta buried where he died or was he buried someplace else?
29,Was Volta buried where he died or was he buried someplace else?
30,Did Volta marry before he became professor of experimental physics at the University of Pavia?
31,Did Volta marry before he became professor of experimental physics at the University of Pavia?
32,What happened in 1810?
33,Was Alessandro Volta born in Como?
34,Who became a professor of physics at the Royal School in Como?
35,When was Volta made a count by Napoleon?
36,Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?
37,Is the battery made by Volta credited as the first electrochemical cell?
38,In what year did he become a professor of physics at the Royal School in Como?
39,Was Avogadro a  professor at the University of Turin?
40,Was he a member of the Royal Superior Council on Public Instruction?
41,Is Avogadro's number used to compute the results of chemical reactions?
42,Who first calculated the value of Avogadro's number?
43,Who first calculated the value of Avogadro's number?
44,What does Avogadro's Law state?
45,What does Avogadro's Law state?
46,Who showed that Avogadro's theory held in dilute solutions?
47,Who showed that Avogadro's theory held in dilute solutions?
48,In what language was his 1811 paper published?
49,In what language was his 1811 paper published?
50,Who was Avogadro's wife?
51,Who was Avogadro's wife?
52,Why did Avogadro lose his chair at the University of Turin?
53,Why did Avogadro lose his chair at the University of Turin?
54,Was Amedeo Avogadro was born in Turin?
55,Was Amedeo Avogadro was born in Turin?
56,Is Avogadro hailed as a founder of the atomic-molecular theory?
57,Is Avogadro hailed as a founder of the atomic-molecular theory?
58,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?
59,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?
60,Avogadro did not actually use what word?
61,Avogadro did not actually use what word?
62,The number of elementary entities in 1 mole of a substance is known as what?
63,The number of elementary entities in 1 mole of a substance is known as what?
64,What would a German call Avogadro's number?
65,What would a German call Avogadro's number?
66,Is Amedeo Avogadro Italian?
67,Is Amedeo Avogadro Italian?
68,Did he become a professor before the revolutionary movements against the king of Sardinia?
69,Did he become a professor before the revolutionary movements against the king of Sardinia?
70,Do ants belong to the Hymenoptera order?
71,Do ants belong to the Hymenoptera order?
72,Are ants used in cuisine?
73,Are ants used in cuisine?
74,Does an ant's head contain sensory organs?
75,Does an ant's head contain sensory organs?
76,How do most ants travel?
77,How do most ants travel?
78,Who wrote about ants in A Tramp Abroad?
79,Who wrote about ants in A Tramp Abroad?
80,What organs gives a bull ant its good sight?
81,What may happen to red fire ants if we use boiling water on the queen?
82,What may happen to red fire ants if we use boiling water on the queen?
83,Are ants found in Antartica?
84,Do male ants take flight before females?
85,Do worker ants have wings?
86,What are the three segments of an ant?
87,What are the ant colonies that lack queens called?
88,What are the ant colonies that lack queens called?
89,Where are bullet ants located?
90,Where are bullet ants located?
91,Do ants belong to the same order as bees?
92,What is the most common color of ants?
93,What is the most common color of ants?
94,Do all ants build nests?
95,Ultraviolet vision was first discovered in ants by Sir who in 1881?
96,Do ants thrive in most ecosystems?
97,Are several species of ants able to use the Earths magnetic field?
98,Do some caterpillars produce vibrations as well as sounds?
99,Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?
100,Is the ant a marsupial?
101,Is Antwerp a city?
102,Is Antwerp a city?
103,Is Antwerp a municipality?
104,Is Antwerp a municipality?
105,Is Antwerp in Belgium?
106,Is Antwerp in Belgium?
107,What is Antwerp?
108,What is Antwerp?
109,What is the population of the city of Antwerp?
110,Where is the city of Antwerp?
111,Where is the city of Antwerp?
112,Why is Antwerp important to fashion?
113,Why is Antwerp important to fashion?
114,Antwerp is to the east of what river?
115,Antwerp is to the east of what river?
116,How many municipalities does Antwerp have?
117,Is Arabic a Central Semitic language?
118,Is Arabic a Central Semitic language?
119,Was Arabic a major vehicle of culture in Europe?
120,Was Arabic a major vehicle of culture in Europe?
121,Is Arabic classified alongside Semitic languages?
122,Is Arabic classified alongside Semitic languages?
123,How many people speak the Arabic language?
124,How many people speak the Arabic language?
125,When was Arabic calligraphy invented?
126,When was Arabic calligraphy invented?
127,Where is Arabic spoken?
128,Where is Arabic spoken?
129,Why is Arabic related to Islam?
130,Why is Arabic related to Islam?
131,Why does Arabic heavily influence European languages?
132,"How do you say ""black"" in Arabic?"
133,Is Arabic the largest member of the Semitic language family?
134,Is Arabic the largest member of the Semitic language family?
135,Does Modern Standard Arabic continue to evolve like other languages?
136,Does Modern Standard Arabic continue to evolve like other languages?
137,Is Hassaniya Arabic spoken in Mauritania?
138,Is Hassaniya Arabic spoken in Mauritania?
139,What is the only variety of modern Arabic that has acquired official language status?
140,What is the only variety of modern Arabic that has acquired official language status?
141,Egyptian Arabic is spoken by how many in Egypt?
142,Egyptian Arabic is spoken by how many in Egypt?
143,Where are the Western Arabic numerals used?
144,Where are the Western Arabic numerals used?
145,The most active Academies of Arabic Language are found where?
146,Hassan Massoudy is a master of what genre?
147,Hassan Massoudy is a master of what genre?
148,Is Berlin the capital city of Germany?
149,Is Berlin the capital city of Germany?
150,Is Berlin the largest city in Germany?
151,Is Berlin the largest city in Germany?
152,Is Schloss Charlottenburg the largest existing palace in Berlin?
153,Is Schloss Charlottenburg the largest existing palace in Berlin?
154,Which building is the site of the German parliament?
155,Which building is the site of the German parliament?
156,Which two sports events did the Olympiastadion host?
157,Which two sports events did the Olympiastadion host?
158,Where is the Berliner Dom located?
159,Where is the Berliner Dom located?
160,Which Berlin building did architect Norman Foster remodel in the 1990s?
161,Which Berlin building did architect Norman Foster remodel in the 1990s?
162,What are the names of the two zoos in Berlin?
163,What are the names of the two zoos in Berlin?
164,Is Berlin the headquarters of Springer?
165,Does the Gendarmenmarkt border the French Cathedral?
166,Is the Nauen plain north of Berlin?
167,Where is the bust of Queen Nefertiti?
168,Where is the bust of Queen Nefertiti?
169,Where does the German President live?
170,When did Berlin give up its status as a free Hanseatic city?
171,When did Berlin give up its status as a free Hanseatic city?
172,Which is the busiest airport in Berlin?
173,Which is the busiest airport in Berlin?
174,How many occupation zones was Germany divided into after the war?
175,How many occupation zones was Germany divided into after the war?
176,Where was Popkomm held before moving to Berlin?
177,Where was Popkomm held before moving to Berlin?
178,Who was Blaise Pascal's father?
179,Was Pascal a French mathematician?
180,Was Pascal a French mathematician?
181,Did Pascal have poor health throughout his life?
182,Did Pascal have poor health throughout his life?
183,How old was Pascal when he lost his mother?
184,How old was Pascal when he lost his mother?
185,Who was Pascal's younger sister?
186,Who was Pascal's younger sister?
187,What led Pascal to his religious conversion?
188,What led Pascal to his religious conversion?
189,How old was Pascal when he died?
190,How old was Pascal when he died?
191,Did Pascal write about cycloid before 1658?
192,Is there a programming language called Pascal?
193,Is there a programming language called Pascal?
194,Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?
195,Who died the next morning?
196,When did his father die?
197,When did his father die?
198,Did Pascal also write in defense of the scientific method?
199,Do butterflies make sounds?
200,Do butterflies make sounds?
201,Do butterflies have two eyes?
202,Does a black moth mean that someone has died?
203,Does a black moth mean that someone has died?
204,What is the outer layer of the cuticle made of?
205,What is the outer layer of the cuticle made of?
206,Where was there a vast swarm of butterflies?
207,Where was there a vast swarm of butterflies?
208,What butterfly is migratory?
209,What butterfly is migratory?
210,Do butterflies carry more pollen than Hymenoptera?
211,What allows the butterfly to evade predators?
212,What allows the butterfly to evade predators?
213,What happens if a wing is removed?
214,What happens if a wing is removed?
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,Was Charles-Augustin de Coulomb a Spanish Biologist?
225,Was the SI unit of charge named after Charles-Augustin de Coulomb?
226,Was Charles-Augustin de Coulomb ever employed at La Rochelle?
227,What is Charles-Augustin de Coulomb best known for?
228,What is Charles-Augustin de Coulomb best known for?
229,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?
230,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?
231,When did Charles-Augustin de Coulomb join his father's family in Montpeillier?
232,Did Charles-Augustin de Coulomb come from a poor family?
233,What is Coulomb's law?
234,What is Coulomb's law?
235,Where is Coll�ge des Quatre-Nations located?
236,Where is Coll�ge des Quatre-Nations located?
237,What happened in 1785?
238,What happened in 1757 to 1759?
239,Who determined to pursue mathematics?
240,When did Coulomb return to Paris?
241,Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?
242,Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?
243,Are all spoken varieties of Chinese tonal and analytical?
244,Are all spoken varieties of Chinese tonal and analytical?
245,Is fifty percent or more of Korean vocabulary of Chinese origin?
246,Is fifty percent or more of Korean vocabulary of Chinese origin?
247,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?"
248,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?"
249,What is the most common romanization standard for Standard Mandarin today?
250,What is the most common romanization standard for Standard Mandarin today?
251,What does the PRC government classify as literacy amongst workers?
252,How is South China linguistically different from North China?
253,&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loan words from which language?
254,&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loan words from which language?
255,What is the standardized form of spoken chinese?
256,What is the standardized form of spoken chinese?
257,When did classical Chinese literature begin?
258,When did classical Chinese literature begin?
259,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?
260,When was Middle Chinese used?
261,How is the pronunciation of foreign words determined?
262,How is the pronunciation of foreign words determined?
263,What language was used in the Zhou and Southern Dynasties?
264,Is a cougar also known as a mountain lion?
265,Is a cougar also known as a mountain lion?
266,Are cougars larger than jaguars?
267,Are cougars larger than jaguars?
268,"Does the World Conservation Union consider the cougar a ""least concern"" species?"
269,"Does the World Conservation Union consider the cougar a ""least concern"" species?"
270,How long are cougar adult males (from nose to tail)?
271,How long are cougar adult males (from nose to tail)?
272,How long is an adult cougar's paw print?
273,How long is an adult cougar's paw print?
274,Is one of the parts of a cymbal called a disc?
275,Is one of the parts of a cymbal called a disc?
276,Are ride cymbals very common?
277,Are ride cymbals very common?
278,Does Fender make cymbals?
279,Does Fender make cymbals?
280,What part of the cymbal is the bell?
281,What part of the cymbal is the bell?
282,What's the timber of ancient cimbals like? disfluent
283,What's the timber of ancient cimbals like? disfluent
284,What does it sound like to play cymbals with a cello bow?
285,What does it sound like to play cymbals with a cello bow?
286,What are cymbals made of?
287,What are cymbals made of?
288,How many cymbals typically go in a drum kit?
289,How many cymbals typically go in a drum kit?
290,What kinds of musical groups use cymbals?
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,Are dragonflies capable of walking?
301,Are dragonflies capable of walking?
302,Do dragonfly nymphs ever hunt on land?
303,Do dragonfly nymphs ever hunt on land?
304,Do dragonflies spend most of their lives in their adult form?
305,Do dragonflies spend most of their lives in their adult form?
306,What are dragonfly larvae known as?
307,What are dragonfly larvae known as?
308,On what continent have dragonflies often been seen as sinister?
309,On what continent have dragonflies often been seen as sinister?
310,In how many directions can the adult dragonfly propel itself?
