,Question,Answer,option2,option4,option3
0,Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.,None of above,No,Yes
1,Was Alessandro Volta a professor of chemistry?,No,both c and b,Github,2
2,Did Alessandro Volta invent the remotely operated pistol?,Alessandro Volta did invent the remotely operated pistol.,both a and b,FLASE,FLASE
3,Did Alessandro Volta invent the remotely operated pistol?,Yes,both c and b,TRUE,No
4,Was Alessandro Volta taught in public schools?,Volta was taught in public schools.,both a and b,Happy,2
5,Was Alessandro Volta taught in public schools?,Yes,both a and b,maybe,2
6,Who did Alessandro Volta marry?,Alessandro Volta married Teresa Peregrini.,None of above,2001,20
7,Who did Alessandro Volta marry?,Teresa Peregrini,both a and b,Happy,Yes
8,What did Alessandro Volta invent in 1800?,voltaic pile,both a and c,help me,No
9,What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.,both a and c,FLASE,Happy
10,What is the battery made by Alessandro Volta credited as?,the first electrochemical cell,None of above,Github,Yes
11,Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.,both a and c,2001,ALL
12,Did Alessandro Volta die and retire in the same place?,Yes,all,Yes,ALL
13,When did Alessandro Volta improve  and popularize the electrophorus?,Alessandro Volta improved and popularized the electrophorus in 1775.,None of above,TRUE,Happy
14,When did Alessandro Volta improve  and popularize the electrophorus?,1775,None of above,Google,Happy
15,How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.,None of above,help me,2
16,How long was Alessandro Volta a professor at the University of Pavia?,almost 25 years,all,0.5,Yes
17,Was Alessandro Volta an Egyptian?,no,both c and b,ALL,TRUE
18,Was Alessandro Volta an Egyptian?,No.,both a and c,Happy,TRUE
19,Was Volta taught in public schools?,yes,all,2001,Yes
20,Was Volta taught in public schools?,Yes.,all,FLASE,FLASE
21,Was Volta made a count in 1810?,yes,both a and b,No,20
22,Was Volta made a count in 1810?,No.,both c and b,Yes,Happy
23,Who made Volta a count?,Napoleon,both a and b,ALL,20
24,Who made Volta a count?,Napoleon,both c and b,maybe,FLASE
25,Where was Volta born?,Como,None of above,TRUE,No
26,When did Volta retire?,1819,None of above,Yes,20
27,When did Volta retire?,In 1819.,both c and b,ALL,No
28,Was Volta buried where he died or was he buried someplace else?,where he died,None of above,Legend,FLASE
29,Was Volta buried where he died or was he buried someplace else?,Yes.,both a and b,Yes,ALL
30,Did Volta marry before he became professor of experimental physics at the University of Pavia?,no,both c and b,Google,ALL
31,Did Volta marry before he became professor of experimental physics at the University of Pavia?,No.,both a and c,Happy,20
32,What happened in 1810?,Volta was made a count by Napoleon.,None of above,2,TRUE
33,Was Alessandro Volta born in Como?,yes,both a and b,Happy,ALL
34,Who became a professor of physics at the Royal School in Como?,Volta.,None of above,maybe,FLASE
35,When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810.,both a and c,1670,Happy
36,Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?,Yes,both c and b,Legend,ALL
37,Is the battery made by Volta credited as the first electrochemical cell?,Yes,both a and c,Legend,FLASE
38,In what year did he become a professor of physics at the Royal School in Como?,1774,both a and c,2,TRUE
39,Was Avogadro a  professor at the University of Turin?,Yes,both c and b,1670,TRUE
40,Was he a member of the Royal Superior Council on Public Instruction?,Yes,both a and b,0.5,20
41,Is Avogadro's number used to compute the results of chemical reactions?,Yes,both c and b,2001,FLASE
42,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt,all,Github,Yes
43,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt first calculated the value of Avogadro's number.,both c and b,Happy,No
44,What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights,both a and b,Happy,20
45,What does Avogadro's Law state?,Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.,both a and c,Legend,FLASE
46,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff,both a and c,0.5,2
47,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.,all,FLASE,TRUE
48,In what language was his 1811 paper published?,French,all,20,2
49,In what language was his 1811 paper published?,Avogadro's 1811 paper was published in French.,None of above,0,Yes
50,Who was Avogadro's wife?,Felicita Mazz,both c and b,ALL,20
51,Who was Avogadro's wife?,Felicita Mazz� was Avogadro's wife.,all,1670,2
52,Why did Avogadro lose his chair at the University of Turin?,He was active in the revolutionary movements of 1821 against the king of Sardinia,both c and b,FLASE,No
53,Why did Avogadro lose his chair at the University of Turin?,Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.,both a and b,20,No
54,Was Amedeo Avogadro was born in Turin?,Yes,both a and c,maybe,2
55,Was Amedeo Avogadro was born in Turin?,yes,None of above,Google,ALL
56,Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes,both c and b,2,TRUE
57,Is Avogadro hailed as a founder of the atomic-molecular theory?,yes,both a and b,ALL,2
58,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes,both a and b,20,TRUE
59,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,yes,all,2001,20
60,Avogadro did not actually use what word?,atom,all,Legend,TRUE
61,Avogadro did not actually use what word?,atom,None of above,Legend,Yes
62,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant,both a and b,TRUE,20
63,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro's constant,both a and c,Yes,2
64,What would a German call Avogadro's number?,Loschmidt number,both a and c,Yes,20
65,What would a German call Avogadro's number?,Loschmidt number,both a and b,Github,Happy
66,Is Amedeo Avogadro Italian?,Yes,all,help me,Yes
67,Is Amedeo Avogadro Italian?,yes,all,TRUE,2
68,Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes,all,0,Happy
69,Did he become a professor before the revolutionary movements against the king of Sardinia?,yes,both a and c,Github,FLASE
70,Do ants belong to the Hymenoptera order?,yes,both a and c,0,20
71,Do ants belong to the Hymenoptera order?,yes,None of above,1670,No
72,Are ants used in cuisine?,yes,both a and b,1670,20
73,Are ants used in cuisine?,yes,None of above,FLASE,Happy
74,Does an ant's head contain sensory organs?,yes,all,No,20
75,Does an ant's head contain sensory organs?,yes,both c and b,Happy,Yes
76,How do most ants travel?,most ants travel by walking,both c and b,2001,ALL
77,How do most ants travel?,by walking,both a and b,Happy,TRUE
78,Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants,both c and b,No,TRUE
79,Who wrote about ants in A Tramp Abroad?,Mark Twain,both c and b,No,Yes
80,What organs gives a bull ant its good sight?,compound eyes,both c and b,FLASE,2
81,What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed,both a and b,Happy,Yes
82,What may happen to red fire ants if we use boiling water on the queen?,die,both a and c,0.5,FLASE
83,Are ants found in Antartica?,,both c and b,Yes,20
84,Do male ants take flight before females?,,both c and b,help me,FLASE
85,Do worker ants have wings?,,both a and c,2,Yes
86,What are the three segments of an ant?,,None of above,20,Happy
87,What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.,both c and b,Google,20
88,What are the ant colonies that lack queens called?,,both a and b,1670,20
89,Where are bullet ants located?,Bullet ants are located in Central and South America.,both a and b,help me,FLASE
90,Where are bullet ants located?,,both c and b,1670,No
91,Do ants belong to the same order as bees?,,all,Legend,20
92,What is the most common color of ants?,Most ants are red or black.,both c and b,TRUE,Happy
93,What is the most common color of ants?,,both a and c,Github,TRUE
94,Do all ants build nests?,,both c and b,maybe,No
95,Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok,both a and b,FLASE,20
96,Do ants thrive in most ecosystems?,Yes.,both c and b,No,20
97,Are several species of ants able to use the Earths magnetic field?,yes,both c and b,1670,Yes
98,Do some caterpillars produce vibrations as well as sounds?,yes,both c and b,20,20
99,Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes,both a and b,Happy,FLASE
100,Is the ant a marsupial?,no,both c and b,2001,Happy
101,Is Antwerp a city?,Yes,both a and c,0,No
102,Is Antwerp a city?,,both a and c,Happy,2
103,Is Antwerp a municipality?,Yes,all,0,No
104,Is Antwerp a municipality?,,None of above,maybe,20
105,Is Antwerp in Belgium?,Yes,both c and b,Legend,20
106,Is Antwerp in Belgium?,,both a and c,Google,TRUE
107,What is Antwerp?,Antwerp is a city and municipality in Belgium.,both a and c,help me,Yes
108,What is Antwerp?,,both a and b,Legend,ALL
109,What is the population of the city of Antwerp?,,both a and b,Legend,2
110,Where is the city of Antwerp?,Antwerp is in Belgium,both a and b,help me,No
111,Where is the city of Antwerp?,,None of above,Legend,Yes
112,Why is Antwerp important to fashion?,Yes,both c and b,1670,2
113,Why is Antwerp important to fashion?,,None of above,maybe,ALL
114,Antwerp is to the east of what river?,Antwerp is to the east of the Scheldt river,both a and c,Github,Yes
115,Antwerp is to the east of what river?,,all,maybe,FLASE
116,How many municipalities does Antwerp have?,,both a and b,Google,Yes
117,Is Arabic a Central Semitic language?,Yes,both a and b,2,20
118,Is Arabic a Central Semitic language?,,None of above,1670,Happy
119,Was Arabic a major vehicle of culture in Europe?,Yes,all,No,20
120,Was Arabic a major vehicle of culture in Europe?,,both c and b,Google,FLASE
121,Is Arabic classified alongside Semitic languages?,Yes,None of above,2001,TRUE
122,Is Arabic classified alongside Semitic languages?,,both a and c,Happy,FLASE
123,How many people speak the Arabic language?,280 million people.,both a and c,maybe,Happy
124,How many people speak the Arabic language?,,both a and b,2001,TRUE
125,When was Arabic calligraphy invented?,Many styles were developed after 786.,both c and b,maybe,2
126,When was Arabic calligraphy invented?,,None of above,FLASE,2
127,Where is Arabic spoken?,The Middle East and North Africa,both a and b,TRUE,Yes
128,Where is Arabic spoken?,,all,20,Happy
129,Why is Arabic related to Islam?,Arabic is the liturgical language of Islam,None of above,Happy,2
130,Why is Arabic related to Islam?,,both a and c,Google,No
131,Why does Arabic heavily influence European languages?,,both a and c,Yes,FLASE
132,"How do you say ""black"" in Arabic?",,both c and b,0,20
133,Is Arabic the largest member of the Semitic language family?,yes,both a and b,Github,FLASE
134,Is Arabic the largest member of the Semitic language family?,yes,None of above,Yes,FLASE
135,Does Modern Standard Arabic continue to evolve like other languages?,yes,both c and b,0,20
136,Does Modern Standard Arabic continue to evolve like other languages?,yes,both c and b,20,FLASE
137,Is Hassaniya Arabic spoken in Mauritania?,yes,both c and b,Legend,No
138,Is Hassaniya Arabic spoken in Mauritania?,Yes,both a and b,2,2
139,What is the only variety of modern Arabic that has acquired official language status?,maltese,all,2001,2
140,What is the only variety of modern Arabic that has acquired official language status?,Maltese,both a and c,Happy,2
141,Egyptian Arabic is spoken by how many in Egypt?,76 million,all,help me,FLASE
142,Egyptian Arabic is spoken by how many in Egypt?,76 million,both a and c,ALL,Yes
143,Where are the Western Arabic numerals used?,North Africa,both a and c,ALL,ALL
144,Where are the Western Arabic numerals used?,present-day North Africa,both c and b,2001,Happy
145,The most active Academies of Arabic Language are found where?,damascus and cairo,None of above,No,No
