,Question,choice 1,choice 2,choice 3,choice 4
0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
1,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
2,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
3,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
4,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
5,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
6,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
7,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
8,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
9,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
10,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
11,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
12,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
13,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
14,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
15,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
16,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
17,What type of person typically contracts illness?,hospital,head,sick person,elderly person
18,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
19,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
20,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
21,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
22,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
23,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
24,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
25,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
26,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
27,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
28,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
29,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
30,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
31,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
32,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
33,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
34,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
35,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
36,What is a great place to lay in the sun?,in the basement,west,solar system,beach
37,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
38,The president is the leader of what institution?,walmart,white house,country,corporation
39,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
40,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
41,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
42,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
43,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
44,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
45,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
46,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
47,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
48,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
49,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
50,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
51,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
52,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
53,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
54,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
55,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
56,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
57,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
58,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
59,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
60,What do drugs do?,damage,cloud mind,lower i.q,cause illness
61,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
62,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
63,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
64,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
65,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
66,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
67,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
68,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
69,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
70,Who was the head of the branch yelling at?,owner,foot,subordinate,base
71,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
72,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
73,Where could you see an advertisement while reading news?,television,bus,email,web page
74,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
75,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
76,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
77,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
78,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
79,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
80,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
81,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
82,When you play around with your dog they will have?,alive,health,fun,playing dead
83,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
84,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
85,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
86,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
87,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
88,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
89,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
90,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
