Theme,Image_Url,Quote,Quote_Url
SMILE,https://assets.passiton.com/quotes/quote_artwork/7905/medium/20220907_wednesday_quote.jpg,"Just one smile, immensely increases the beauty, of the universe",/inspirational-quotes/7905-just-one-smile-immensely-increases-the-beauty
SMILE,https://assets.passiton.com/quotes/quote_artwork/8145/medium/20220906_tuesday_quote.jpg,"If you see someone without a smile, give them one of yours",/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them
SMILE,https://assets.passiton.com/quotes/quote_artwork/7323/medium/20220905_monday_quote.jpg,"Too often we underestimate the power of a touch, a smile, a kind word",/inspirational-quotes/7323-too-often-we-underestimate-the-power-of-a
PEACE,https://assets.passiton.com/quotes/quote_artwork/8357/medium/20220902_friday_quote.jpg,"Every breath we take, every step we make, can be filled with peace, joy and serenity",/inspirational-quotes/8357-every-breath-we-take-every-step-we-make-can
PEACE,https://assets.passiton.com/quotes/quote_artwork/8177/medium/20220901_thursday_quote.jpg,"When we create peace and harmony and balance in our minds, we will find it in our lives",/inspirational-quotes/8177-when-we-create-peace-and-harmony-and-balance-in
PEACE,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20220831_wednesday_quote_alt.jpg,Peace begins with a smile,/inspirational-quotes/7583-peace-begins-with-a-smile
PEACE,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20220830_tuesday_quote.jpg,Choose love and peace will follow,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace
PEACE,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20220829_monday_quote.jpg,"Peace, like charity, begins at home",/inspirational-quotes/7429-peace-like-charity-begins-at-home
LOVE,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20220826_friday_quote.jpg,Let us see what love can do,/inspirational-quotes/6900-let-us-see-what-love-can-do
LOVE,https://assets.passiton.com/quotes/quote_artwork/6128/medium/20220825_thursday_quote.jpg,"May love and laughter light your days, and warm your heart and home",/inspirational-quotes/6128-may-love-and-laughter-light-your-days-and-warm
LOVE,https://assets.passiton.com/quotes/quote_artwork/7969/medium/20220824_wednesday_quote.jpg,I believe in the spirit of equality and the spirit of this country as one of love and compassion and kindness,/inspirational-quotes/7969-i-believe-in-the-spirit-of-equality-and-the
LOVE,https://assets.passiton.com/quotes/quote_artwork/6459/medium/20220823_tuesday_quote.jpg,We lose ourselves in the things we love,/inspirational-quotes/6459-we-lose-ourselves-in-the-things-we-love-we
LOVE,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20220822_monday_quote.jpg,"You yourself, as much as anybody in the entire universe deserve your love and affection",/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8356/medium/20220819_friday_quote.jpg,You have the capability to change your life all with a simple shift in perspective,/inspirational-quotes/8356-you-have-the-capability-to-change-your-life-all
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8355/medium/20220818_thursday_quote.jpg,The smallest change in perspective can transform a life,/inspirational-quotes/8355-the-smallest-change-in-perspective-can
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/6441/medium/20220817_wednesday_quote.jpg,"It's not what you look at that matters, it's what you see",/inspirational-quotes/6441-its-not-what-you-look-at-that-matters-its-what
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8354/medium/20220816_tuesday_quote.jpg,"Wisdom is your perspective on life, your sense of balance, your understanding of how the various parts and principles apply and relate to each other",/inspirational-quotes/8354-wisdom-is-your-perspective-on-life-your-sense
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8353/medium/20220815_monday_quote.jpg,The best ideas emerge when very different perspectives meet,/inspirational-quotes/8353-the-best-ideas-emerge-when-very-different
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/8351/medium/20220812_friday_quote.jpg,The biggest adventure you can take is to live the life of your dreams,/inspirational-quotes/8351-the-biggest-adventure-you-can-take-is-to-live
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/4171/medium/20220811_thursday_quote.jpg,Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did,/inspirational-quotes/4171-twenty-years-from-now-you-will-be-more
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/6906/medium/20220810_wednesday_quote.jpg,"Don't be pushed by your problems, be led by your dreams",/inspirational-quotes/6906-dont-be-pushed-by-your-problems-be-led-by-your
